id_persona,log_y,pred_loo,pred_cv5
4521266-1-1,15.319587954740548,14.737990159085223,14.720718910192067
4521266-1-2,15.89495209964411,14.856319814045879,14.817050843063734
4521267-1-1,14.077874822431763,14.15996395183231,14.13064178275494
4521268-1-1,15.424948470398377,14.885065215779475,14.879847936052402
4521268-1-2,14.99416555430592,14.5681459973342,14.570236123049966
4521269-1-1,14.92517265534644,14.851313425071819,14.835198029087632
4521269-1-2,14.92517265534644,14.733624479332386,14.790302203669736
4521270-1-1,13.710150042306449,13.496646422500543,13.494808725706909
4521270-1-2,12.611537753638338,12.180947088913063,12.211325756638066
4521271-1-2,13.864300722133706,13.950531593398992,14.00577050055334
4521271-1-3,10.778956289890028,13.007691077274263,13.055720426252423
4521272-1-1,14.28551418721001,14.29753889802021,14.262474487431788
4521272-1-3,14.103047619902538,13.97955054497953,13.983289144104445
4521274-1-2,12.89921982609012,14.28170547316754,14.330642945672047
4521275-1-1,13.661418886812635,13.86152232522522,13.879572343653537
4521275-2-1,13.511315561204944,13.853796301158559,13.911064455476824
4521276-1-3,15.201804919084164,13.499412415373836,13.495975779327484
4521276-1-4,13.628237161021978,14.038797672956488,13.996641608835377
4521277-1-4,14.50865773852422,13.521885484267575,13.547964951715036
4521278-1-1,15.095193621524686,14.965343240056075,14.943672609037181
4521278-1-2,14.346138809026444,13.984569149676787,13.964214672505298
4521279-1-1,13.60787119318603,13.924676057920228,13.937521537807992
4521281-1-1,13.997832114758229,13.988835298282819,14.009659779921462
4521281-1-2,13.592367006650065,13.905381207276612,13.915609250749352
4521281-1-4,12.611537753638338,12.853051578506758,12.787647554940138
4521283-1-2,14.346138809026444,14.174837100478715,14.233547167212745
4521283-1-3,13.618104195431933,14.358664137080925,14.370801221404886
4521283-1-5,13.122363377404328,13.968990056688533,13.932460419180577
4521284-1-1,13.838386887965246,14.017890179916098,14.012985424668964
4521284-1-2,14.403297222866392,13.479929289550366,13.491695293462755
4521287-1-1,13.527828485512494,13.39585898510369,13.389018144289041
4521288-1-1,13.710150042306449,12.806986204736102,12.790309628055565
4521288-1-2,14.811843966742734,14.381768876159185,14.405234117787835
4521289-1-2,14.187074114396758,14.347030368496492,14.320358287243023
4521291-1-3,15.182664593667669,15.463540097074208,15.457458689478424
4521292-1-4,14.914122846632385,14.38469814184632,14.362181173945391
4521292-1-5,14.22097566607244,14.229051946018373,14.19933959082965
4521292-1-7,13.511315561204944,13.626681757808276,13.652432486341327
4521293-1-2,13.596284323934109,13.404104854425658,13.395132752645775
4521294-1-1,15.89495209964411,15.646012228356003,15.631826644175009
4521294-1-2,14.888805038648094,15.16555270817891,15.132806015814161
4521296-1-3,13.815510557964274,12.976484336465116,13.056770036716141
4521297-1-1,10.596634733096073,12.452501001850292,12.442759120529809
4521297-1-2,11.877568578558138,12.301417422833621,12.292567382626318
4521297-1-3,12.994530005894443,11.719730412943253,11.715958797323962
4521298-1-1,14.73180128983843,13.665493439671156,13.609760214752916
4521298-1-3,14.983856210553794,14.872000359934578,14.902013681095362
4521300-1-1,13.815510557964274,13.566621416850097,13.575082737052236
4521300-1-2,13.618104195431933,13.468792771175307,13.429119629753048
4521301-1-1,11.002099841204238,13.039349992499186,13.017759086015815
4521301-1-2,13.618104195431933,13.823408823456553,13.854698100640187
4521301-1-4,11.002099841204238,12.88837303845398,12.919077168580039
4521302-1-1,13.815510557964274,13.918246676921715,13.882303120924174
4521303-1-2,12.611537753638338,12.565773316183721,12.623376641074406
4521304-1-1,13.997832114758229,12.98768554702392,12.969428682210866
4521307-1-1,13.592367006650065,13.31827585722044,13.299057617125422
4521307-1-2,13.592367006650065,13.830243329309331,13.802197901689054
4521307-1-3,13.511315561204944,13.681854130667594,13.663557949335875
4521308-1-2,13.592638219868434,13.658501120468284,13.640613361197202
4521309-1-1,13.997832114758229,14.032396266203156,14.033992723144191
4521310-1-2,13.618104195431933,13.651270631216759,13.671410657050403
4521311-1-2,13.6903253105993,13.821437074742269,13.829304757270618
4521312-1-1,13.304684934198283,13.724131616805066,13.726046582570401
4521312-1-2,13.122363377404328,13.55234194818853,13.550818548801763
4521312-1-5,13.38472764187182,13.569902716701367,13.549438449596144
4521313-1-1,13.499429010990797,13.68940312010056,13.738113089183928
4521314-1-1,13.710150042306449,12.848564197456511,12.816360232702467
4521315-1-1,13.983682479153789,14.048008445461724,14.031576092987766
4521315-1-3,13.618104195431933,13.838526745222726,13.830548199804014
