modelo,sexo,edad,prediccion,IC_inf,IC_sup
S5,Hombres,34.0,13.980166931364398,13.961571769551707,13.998762093177088
S5,Hombres,35.0,13.996277227317403,13.977151647620994,14.015402807013812
S5,Hombres,36.0,14.011339260036973,13.991691445549389,14.030987074524557
S5,Hombres,37.0,14.025353029523108,14.005212466565402,14.045493592480815
S5,Hombres,38.0,14.038318535775808,14.017729841530496,14.05890723002112
S5,Hombres,39.0,14.050235778795075,14.029253498611348,14.071218058978802
S5,Hombres,40.0,14.061104758580905,14.039788928973845,14.082420588187965
S5,Hombres,41.0,14.070925475133304,14.049337731336353,14.092513218930256
S5,Hombres,42.0,14.079697928452266,14.057897952935189,14.101497903969342
S5,Hombres,43.0,14.087422118537791,14.065464257055982,14.1093799800196
S5,Hombres,44.0,14.094098045389886,14.072027951965284,14.116168138814489
S5,Hombres,45.0,14.099725709008542,14.077576920861446,14.121874497155638
S5,Hombres,46.0,14.104305109393767,14.082095501736768,14.126514717050766
S5,Hombres,47.0,14.107836246545554,14.085564381704,14.13010811138711
S5,Hombres,48.0,14.110319120463908,14.087960591427446,14.13267764950037
S5,Hombres,49.0,14.111753731148829,14.089257706326853,14.134249755970805
S5,Hombres,50.0,14.112140078600312,14.089426370241432,14.134853786959193
S5,Hombres,51.0,14.111478162818361,14.088435236125548,14.134521089511175
S5,Hombres,52.0,14.109767983802978,14.086252349284907,14.13328361832105
S5,Hombres,53.0,14.107009541554158,14.082846879054411,14.131172204053904
S5,Hombres,54.0,14.103202836071905,14.078190964311872,14.128214707831937
S5,Hombres,55.0,14.098347867356216,14.072261339868415,14.124434394844016
S5,Hombres,56.0,14.092444635407091,14.065040420040573,14.119848850773609
S5,Hombres,57.0,14.085493140224532,14.056516649816583,14.114469630632481
S5,Hombres,58.0,14.07749338180854,14.046684137070018,14.108302626547063
S5,Hombres,59.0,14.068445360159112,14.0355417556636,14.101348964654624
S5,Hombres,60.0,14.05834907527625,14.023091989305863,14.093606161246639
S5,Hombres,61.0,14.047204527159954,14.009339763602375,14.085069290717533
S5,Hombres,62.0,14.035011715810223,13.994291431397338,14.075732000223107
S5,Hombres,63.0,14.021770641227057,13.977953985156303,14.065587297297812
S5,Hombres,64.0,14.007481303410454,13.960334501341313,14.054628105479596
S5,Hombres,65.0,13.99214370236042,13.941439783617055,14.042847621103784
S5,Hombres,66.0,13.97575783807695,13.92127615836377,14.030239517790129
S5,Hombres,67.0,13.958323710560045,13.89984937745115,14.01679804366894
